City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Mataura,-46.19,168.86,48.0,82,96,21.99,NZ,2020-12-02 20:11:04
71,Henties Bay,-22.12,14.28,59.0,87,0,4.59,NA,2020-12-02 20:11:04
72,Taloqan,36.74,69.53,46.0,58,99,1.66,AF,2020-12-02 20:11:04
73,Georgetown,5.41,100.34,78.8,88,40,3.36,MY,2020-12-02 20:10:25
74,East London,-33.02,27.91,63.03,68,44,5.73,ZA,2020-12-02 20:11:04
75,Tuktoyaktuk,69.45,-133.04,15.8,85,75,18.34,CA,2020-12-02 20:11:05
76,Pisco,-13.7,-76.22,73.4,69,0,16.11,PE,2020-12-02 20:09:27
77,Coquimbo,-29.95,-71.34,62.6,67,20,13.87,CL,2020-12-02 20:11:06
78,Atuona,-9.8,-139.03,78.13,75,97,14.38,PF,2020-12-02 20:11:06
79,Sitka,57.05,-135.33,51.8,62,90,23.04,US,2020-12-02 20:11:06
80,Iqaluit,63.75,-68.51,10.4,78,40,5.19,CA,2020-12-02 20:11:06
81,Ugoofaaru,5.67,73.0,82.67,76,100,11.86,MV,2020-12-02 20:11:07
82,Mar Del Plata,-38.0,-57.56,73.4,46,90,16.11,AR,2020-12-02 20:08:40
83,Kailua,21.4,-157.74,78.01,69,20,3.36,US,2020-12-02 20:11:07
84,Camacha,33.08,-16.33,64.4,82,20,14.99,PT,2020-12-02 20:11:08
85,Vao,-22.67,167.48,73.65,74,0,12.1,NC,2020-12-02 20:11:08
86,Ganzhou,28.82,115.43,46.83,80,100,7.18,CN,2020-12-02 20:11:08
87,Neka,36.65,53.3,48.69,78,85,2.93,IR,2020-12-02 20:11:08
88,Hermanus,-34.42,19.23,57.0,77,0,1.01,ZA,2020-12-02 20:11:09
89,Laguna,38.42,-121.42,62.01,50,1,3.36,US,2020-12-02 20:11:09
90,Kuryk,43.2,51.65,36.45,78,100,10.58,KZ,2020-12-02 20:11:09
91,Lavrentiya,65.58,-171.0,9.41,89,37,11.77,RU,2020-12-02 20:11:09
92,Bambous Virieux,-20.34,57.76,79.0,94,75,5.82,MU,2020-12-02 20:11:09
93,Pemba,-12.97,40.52,80.6,83,75,12.75,MZ,2020-12-02 20:10:16
94,Esperance,-33.87,121.9,55.4,82,0,3.36,AU,2020-12-02 20:11:10
95,Kapaa,22.08,-159.32,75.2,78,1,5.82,US,2020-12-02 20:09:53
96,Mkuranga,-7.12,39.21,80.6,83,40,6.93,TZ,2020-12-02 20:11:10
97,Nanortalik,60.14,-45.24,24.62,78,78,14.5,GL,2020-12-02 20:11:10
98,Leningradskiy,69.38,178.42,-4.58,79,16,3.29,RU,2020-12-02 20:11:10
99,Castro,-24.79,-50.01,76.12,75,100,5.99,BR,2020-12-02 20:07:19
100,Lompoc,34.64,-120.46,64.4,51,1,13.87,US,2020-12-02 20:09:54
101,Phan Thiet,10.93,108.1,71.11,81,0,7.78,VN,2020-12-02 20:11:11
102,Hasaki,35.73,140.83,45.0,100,75,12.75,JP,2020-12-02 20:11:11
103,Hassleholm,56.16,13.77,39.2,85,99,8.05,SE,2020-12-02 20:11:11
104,Matagami,49.75,-77.63,21.2,92,90,4.7,CA,2020-12-02 20:11:11
105,Buritizeiro,-17.35,-44.96,87.04,48,59,4.68,BR,2020-12-02 20:11:12
106,Evensk,61.95,159.23,-0.94,91,99,4.9,RU,2020-12-02 20:11:12
107,New Norfolk,-42.78,147.06,51.01,66,100,3.15,AU,2020-12-02 20:11:12
108,Koulikoro,14.0,-7.75,79.81,17,1,8.32,ML,2020-12-02 20:11:12
109,Korla,41.76,86.15,20.64,91,82,3.74,CN,2020-12-02 20:08:52
110,Vega De Alatorre,20.03,-96.63,76.96,70,19,10.74,MX,2020-12-02 20:11:13
111,Timberlake,37.32,-79.26,50.0,29,1,5.82,US,2020-12-02 20:11:13
112,Aksu,41.12,80.26,18.21,89,0,1.66,CN,2020-12-02 20:11:13
113,Bengkulu,-3.8,102.27,76.28,86,56,5.79,ID,2020-12-02 20:11:13
114,Hithadhoo,-0.6,73.08,82.4,78,43,17.11,MV,2020-12-02 20:11:13
115,Kavieng,-2.57,150.8,78.76,84,100,6.08,PG,2020-12-02 20:11:13
116,Khatanga,71.97,102.5,15.6,96,100,20.69,RU,2020-12-02 20:11:14
117,Chuy,-33.7,-53.46,73.89,73,62,14.27,UY,2020-12-02 20:08:08
118,Sao Filipe,14.9,-24.5,75.25,78,23,10.74,CV,2020-12-02 20:11:14
119,Belmonte,-15.86,-38.88,82.4,61,20,17.22,BR,2020-12-02 20:09:44
120,Kalmunai,7.42,81.82,77.47,86,99,5.79,LK,2020-12-02 20:11:14
121,Bedi,22.5,70.05,75.94,42,0,4.56,IN,2020-12-02 20:11:15
122,Bredasdorp,-34.53,20.04,53.6,71,0,3.36,ZA,2020-12-02 20:09:49
123,Bluff,-46.6,168.33,48.0,82,100,21.99,NZ,2020-12-02 20:11:15
124,Sicamous,50.83,-118.99,32.0,80,0,2.24,CA,2020-12-02 20:11:15
125,Port Blair,11.67,92.75,80.92,79,100,8.66,IN,2020-12-02 20:11:15
126,Umm Lajj,25.02,37.27,71.51,47,0,9.6,SA,2020-12-02 20:11:16
127,Shitkino,56.37,98.35,3.96,93,85,4.41,RU,2020-12-02 20:11:16
128,Susangerd,31.56,48.18,64.4,93,75,2.24,IR,2020-12-02 20:11:16
129,Basco,20.45,121.97,76.17,83,100,39.84,PH,2020-12-02 20:11:16
130,Santa Lucia,27.91,-15.54,68.0,72,40,1.12,ES,2020-12-02 20:11:16
131,Qurbus,36.82,10.57,59.0,87,40,5.82,TN,2020-12-02 20:11:16
132,Makubetsu,45.37,141.82,27.1,91,100,15.57,JP,2020-12-02 20:11:17
133,Cabanas,22.98,-82.92,77.0,53,20,20.8,CU,2020-12-02 20:11:17
134,Kruisfontein,-34.0,24.73,60.01,89,0,2.08,ZA,2020-12-02 20:11:17
135,Trincomalee,8.57,81.23,77.56,86,100,29.57,LK,2020-12-02 20:11:17
136,Bowen,-20.02,148.23,71.6,88,91,3.36,AU,2020-12-02 20:08:28
137,Komsomolskiy,40.43,71.72,41.0,80,75,6.93,UZ,2020-12-02 20:11:18
138,Nelson Bay,-32.72,152.15,66.2,88,90,9.17,AU,2020-12-02 20:11:18
139,Mount Gambier,-37.83,140.77,37.4,93,13,3.47,AU,2020-12-02 20:11:18
140,Narsaq,60.92,-46.05,10.4,51,20,3.36,GL,2020-12-02 20:11:18
141,Alyangula,-13.85,136.42,77.0,100,100,5.93,AU,2020-12-02 20:11:18
142,Bonthe,7.53,-12.51,79.72,79,42,5.59,SL,2020-12-02 20:11:19
143,Yueyang,29.33,113.09,42.67,72,100,12.57,CN,2020-12-02 20:11:19
144,Constitucion,-35.33,-72.42,64.2,58,0,21.74,CL,2020-12-02 20:11:19
145,Nadym,65.53,72.52,11.3,93,51,14.5,RU,2020-12-02 20:11:19
146,Kakonko,-3.28,30.96,65.44,91,100,2.08,TZ,2020-12-02 20:11:19
147,Severo-Kurilsk,50.68,156.12,25.9,90,75,18.19,RU,2020-12-02 20:11:19
148,Port Shepstone,-30.74,30.45,66.2,66,100,7.34,ZA,2020-12-02 20:11:20
149,Vila Velha,-20.33,-40.29,82.4,74,20,14.99,BR,2020-12-02 20:11:21
150,Thompson,55.74,-97.86,26.6,79,20,8.05,CA,2020-12-02 20:08:45
151,Novikovo,51.15,37.89,23.92,93,100,12.41,RU,2020-12-02 20:11:21
