City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
797,Manaus,BR,89.6,scattered clouds,-3.1,-60.02,Hotel do Largo
801,Mlimba,TZ,75.27,light rain,-8.8,35.82,Mlimba Centre
802,Salvador,SV,87.8,few clouds,13.83,-88.92,Chico's Ranch
803,Kulhudhuffushi,MV,81.77,broken clouds,6.62,73.07,Haajy Guest House 1
804,Anloga,GH,82.4,few clouds,5.79,0.9,Pin Drop Hotel
805,Bida,NG,82.92,clear sky,9.08,6.02,Royal Suite
807,Pucallpa,PE,84.2,light rain,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
808,Santa Cruz,BO,87.8,broken clouds,-17.8,-63.17,Hotel Cortez
810,Pedernales,DO,84.2,light rain,18.04,-71.74,Hotel Costa Marina
812,Mitu,CO,80.35,overcast clouds,1.2,-70.17,
815,Ippy,CF,82.47,broken clouds,6.27,21.22,
817,Salaga,GH,88.34,few clouds,8.55,-0.52,Bore Nada Guest House
825,Roebourne,AU,76.24,overcast clouds,-20.78,117.13,Harding River Caravan Park
827,El Higo,MX,80.33,scattered clouds,21.77,-98.47,Hotel Versalles
830,Luwuk,ID,78.1,light rain,-0.95,122.79,Hotel Santika Luwuk
837,Trinidad,BO,89.6,light rain,-14.83,-64.9,Hotel Piesta
841,Tevaitoa,PF,80.02,overcast clouds,-16.78,-151.5,Hôtel Raiatea Lodge
845,Margasari,ID,76.37,moderate rain,-7.1,109.02,Majlis Ta'lim NA-AM Jembayat
853,Bousso,TD,79.93,clear sky,10.48,16.71,
855,Muisne,EC,86.0,light rain,0.6,-80.03,Quinta Samay
861,Houma,US,75.0,overcast clouds,29.6,-90.72,Courtyard by Marriott Houma
864,Trairi,BR,82.24,scattered clouds,-3.28,-39.27,janelas do mar
865,Galle,LK,77.32,overcast clouds,6.04,80.22,Amangalla
870,Fare,PF,79.92,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
874,Cozumel,MX,80.01,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
879,Bitung,ID,75.2,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
881,Bondoukou,CI,81.52,clear sky,8.03,-2.8,Prestige Hotel
887,Poum,NC,80.69,clear sky,-20.23,164.02,Gîte kajeon
889,Progreso,MX,82.0,overcast clouds,21.28,-89.67,Playa Linda Hotel
906,Bahia Honda,CU,78.71,broken clouds,22.9,-83.16,Casa Gualberto - Deysi
908,Touho,NC,78.22,light rain,-20.78,165.23,Auberge Timay Evasion
911,Nisia Floresta,BR,84.2,few clouds,-6.09,-35.21,Rancho Crepusculo
915,Simi,SL,81.84,few clouds,9.57,-12.35,
917,Alugan,PH,80.42,overcast clouds,12.22,125.48,JM Lodge
928,Valparaiso,CL,78.8,clear sky,-33.04,-71.63,Hotel Ultramar
936,Nata,PA,87.8,few clouds,8.33,-80.52,Cabañas Estancia Bayamon
945,Sumbe,AO,76.14,broken clouds,-11.21,13.84,Hotel Ritz Sumbe
947,Rach Gia,VN,75.2,scattered clouds,10.02,105.08,Nhà Hàng Hòa Giang
950,Sao Francisco,BR,80.37,broken clouds,-15.95,-44.86,Pousada Peixe Vivo
951,Kalmunai,LK,76.08,overcast clouds,7.42,81.82,VS Villa
956,Tafo,GH,75.25,light rain,6.73,-1.61,Franbec Hotel
